type,latitude,longitude,tw,fullAddressRu,fullAddressUa,fullAddressEn,placeRu,placeUa,cityRU,cityUA,cityEN
TSO,35.034557,47.821459,"{'mon': '08:00 - 19:00', 'tue': '08:00 - 19:00', 'wed': '08:00 - 19:00', 'thu': '08:00 - 19:00', 'fri': '08:00 - 19:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,улица Новгородская,дом 28а","Україна,область Запорізька,місто Запоріжжя,вулиця Новгородська,будинок 28а","Ukraine,region Zaporizka,city Zaporizhzhia,street Novhorodska,building 28a",Детская Больница №5,Дитяча лікарня №5,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.124411,47.841008,"{'mon': '08:00 - 21:00', 'tue': '08:00 - 21:00', 'wed': '08:00 - 21:00', 'thu': '08:00 - 21:00', 'fri': '08:00 - 21:00', 'sat': '08:00 - 21:00', 'sun': '08:00 - 21:00', 'hol': '08:00 - 21:00'}","Украина,область Запорожская,город Запорожье,проспект Маяковского,дом 11","Україна,область Запорізька,місто Запоріжжя,проспект Маяковського,будинок 11","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Maiakovskoho,building 11",Визовый сервис,Візовий сервіс,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.114426,47.851724,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 169","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 169","Ukraine,area Zaporizka,city Zaporizhzhia,avenue Sobornii,building 169",Отделение банка,Відділення банку,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.237095,47.792732,"{'mon': '08:00 - 22:00', 'tue': '08:00 - 22:00', 'wed': '08:00 - 22:00', 'thu': '08:00 - 22:00', 'fri': '08:00 - 22:00', 'sat': '08:00 - 22:00', 'sun': '08:00 - 22:00', 'hol': '08:00 - 22:00'}","Украина,область Запорожская,город Запорожье,шоссе Ореховское,дом 7а","Україна,область Запорізька,місто Запоріжжя,шосе Оріхівське,будинок 7а","Ukraine,region Zaporizka,city Zaporizhzhia,highway Orikhivske,building 7a","""Метро""","""Метро""",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.018674,47.833933,"{'mon': '07:00 - 22:00', 'tue': '07:00 - 22:00', 'wed': '07:00 - 22:00', 'thu': '07:00 - 22:00', 'fri': '07:00 - 22:00', 'sat': '07:00 - 22:00', 'sun': '07:00 - 22:00', 'hol': '07:00 - 22:00'}","Украина,область Запорожская,город Запорожье,улица Рубана,дом 17","Україна,область Запорізька,місто Запоріжжя,вулиця Рубана,будинок 17","Ukraine,region Zaporizka,city Zaporizhzhia,street Rubana,building 17",Торговый Центр Бридж,Торговий Центр Бридж,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.187387,47.825150,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 16:45', 'sat': '00:00 - 00:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,улица Авалиани,дом 19А","Україна,область Запорізька,місто Запоріжжя,вулиця Аваліані,будинок 19А","Ukraine,area Zaporizka,city Zaporizhzhia,street Avaliani,building 19A",криминалистический центр МВД,Криміналістичний центр МВС,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.184755,47.806556,"{'mon': '09:00 - 18:00', 'tue': '09:00 - 18:00', 'wed': '09:00 - 18:00', 'thu': '09:00 - 18:00', 'fri': '09:00 - 18:00', 'sat': '09:00 - 15:00', 'sun': '00:00 - 00:00', 'hol': '00:00 - 00:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 23","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 23","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 23",Магазин Samsung,Магазин Samsung,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.157228,47.817785,"{'mon': '08:00 - 22:00', 'tue': '08:00 - 22:00', 'wed': '08:00 - 22:00', 'thu': '08:00 - 22:00', 'fri': '08:00 - 22:00', 'sat': '08:00 - 22:00', 'sun': '08:00 - 22:00', 'hol': '08:00 - 22:00'}","Украина,область Запорожская,город Запорожье,улица Запорожская,дом 1б","Україна,область Запорізька,місто Запоріжжя,вулиця Запорізька,будинок 1б","Ukraine,region Zaporizka,city Zaporizhzhia,street Zaporizka,building 1b",ТРЦ CITY MALL,ТРЦ CITY MALL,Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.106645,47.860718,"{'mon': '09:00 - 22:00', 'tue': '09:00 - 22:00', 'wed': '09:00 - 22:00', 'thu': '09:00 - 22:00', 'fri': '09:00 - 22:00', 'sat': '09:00 - 22:00', 'sun': '09:00 - 22:00', 'hol': '09:00 - 22:00'}","Украина,область Запорожская,город Запорожье,проспект Металлургов,дом 8б","Україна,область Запорізька,місто Запоріжжя,проспект Металургів,будинок 8б","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Metalurhiv,building 8b","ТЦ ""Афина"", инстор","ТЦ ""Афина"", инстор",Запорожье,Запоріжжя,Zaporizhzhia
TSO,35.172670,47.820350,"{'mon': '08:00 - 20:00', 'tue': '08:00 - 20:00', 'wed': '08:00 - 20:00', 'thu': '08:00 - 20:00', 'fri': '08:00 - 20:00', 'sat': '08:00 - 20:00', 'sun': '08:00 - 20:00', 'hol': '08:00 - 20:00'}","Украина,область Запорожская,город Запорожье,проспект Соборный,дом 90","Україна,область Запорізька,місто Запоріжжя,проспект Соборний,будинок 90","Ukraine,region Zaporizka,city Zaporizhzhia,avenue Sobornyi,building 90","Торговый центр ""Гранд""","Торговый центр ""Гранд""",Запорожье,Запоріжжя,Zaporizhzhia
